PLZ;ORT ;Werk;Breitengrad;L„ngengrad;;;;;;;;;;;;;
90762;FUERTH;2011;49.477859;10.988665;;;;;;;;;;;;;
96047;BAMBERG;2012;49.86667;10.86667;;;;;;;;;;;;;
86150;AUGSBURG;2021;48.369099;10.893711;;;;;;;;;;;;;
69115;HEIDELBERG;2022;49.40027;8.677846;;;;;;;;;;;;;
63739;ASCHAFFENBURG;2023;49.40027;8.677846;;;;;;;;;;;;;
34277;FULDABRUECK;2031;51.247524;9.483038;;;;;;;;;;;;;
99092;ERFURT;2032;50.981092;11.006537;;;;;;;;;;;;;
15517;FUERSTENWALDE/SPREE;2041;52.347883;14.062828;;;;;;;;;;;;;
14770;BRANDENBURG/HAVEL;2042;52.408413;12.504185;;;;;;;;;;;;;
56068;KOBLENZ;2043;50.3485;7.593805;;;;;;;;;;;;;
97877;WERTHEIM;2044;49.756355;9.510282;;;;;;;;;;;;;
96450;COBURG;2051;50.250099;10.969329;;;;;;;;;;;;;
09120;CHEMNITZ;2061;50.820121;12.921244;;;;;;;;;;;;;
81927;MUENCHEN;2062;48.149873;11.637877;;;;;;;;;;;;;
1109;DRESDEN;2071;51.126055;13.784964;;;;;;;;;;;;;
4668;GRIMMA;2072;51.222799;12.717618;;;;;;;;;;;;;
34123;KASSEL;2081;51.27126;9.516848;;;;;;;;;;;;;
31137;HILDESHEIM;2082;52.16291;9.937727;;;;;;;;;;;;;
39126;MAGDEBURG;2091;52.167043;11.666312;;;;;;;;;;;;;
48432;RHEINE;2092;52.304577;7.446424;;;;;;;;;;;;;
26135;OLDENBURG;2093;53.111105;8.256631;;;;;;;;;;;;;
19288;LUDWIGSLUST;2101;53.310328;11.509688;;;;;;;;;;;;;
14943;LUCKENWALDE;2111;52.078621;13.151637;;;;;;;;;;;;;
6126;HALLE;2121;51.468988;11.896107;;;;;;;;;;;;;
36039;FULDA;2122;50.568849;9.679438;;;;;;;;;;;;;
35452;HEUCHELHEIM;2131;50.592542;8.631708;;;;;;;;;;;;;
68309;MANNHEIM;2132;49.517639;8.555524;;;;;;;;;;;;;
55543;BAD KREUZNACH;2141;49.856765;7.885903;;;;;;;;;;;;;
56218;MUEHLHEIM/KAERLICH;2142;50.394273;7.517254;;;;;;;;;;;;;
57076;SIEGEN;2143;50.894889;8.030684;;;;;;;;;;;;;
35039;MARBURG;2151;50.827659;8.769293;;;;;;;;;;;;;
74076;HEILBRONN;2152;49.177591;9.209446;;;;;;;;;;;;;
78467;KONSTANZ;2153;47.68308;9.142258;;;;;;;;;;;;;
73433;AALEN;2154;48.856811;10.104846;;;;;;;;;;;;;
83022;ROSENHEIM;2161;47.851296;12.140443;;;;;;;;;;;;;
87437;KEMPTEN;2162;47.708784;10.32755;;;;;;;;;;;;;
78048;VILLINGEN-SCHWENNINGEN;2171;47.708784;10.32755;;;;;;;;;;;;;
77656;OFFENBURG;2172;48.439867;7.930517;;;;;;;;;;;;;
51373;LEVERKUSEN;2173;51.024754;6.983553;;;;;;;;;;;;;
33106;PADERBORN;2181;51.685478;8.738709;;;;;;;;;;;;;
36269;PHILLIPSTHAL;2182;51.685478;8.738709;;;;;;;;;;;;;
99510;APOLDA;2183;51.036523;11.516529;;;;;;;;;;;;;
6679;LUETZEN;2191;51.18429;12.014068;;;;;;;;;;;;;
19057;SCHWERIN;2192;53.649219;11.381338;;;;;;;;;;;;;
16556;BORGSDORF;2193;52.706928;13.274969;;;;;;;;;;;;;
